"","Country.of.Origin","Farm.Name","Lot.Number","Mill","ICO.Number","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner","Variety","Status","Processing.Method","Fragrance...Aroma","Flavor","Aftertaste","Salt...Acid","Bitter...Sweet","Mouthfeel","Uniform.Cup","Clean.Cup","Balance","Overall","Defects","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Expiration","Certification.Body","Certification.Address","Certification.Contact","unit_of_measurement","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"47","Thailand","community enterprise of farmers group nam phang subdistrict","1","cleaning","","community enterprise of farmers group nam phang subdistrict","579","nan","Pawonwich Khamhom",1,"8 kg","Specialty Coffee Institute of Thailand","2024 / 2025","August 26th, 2025","pawonwich khamhom","","Completed","Natural / Dry",8.17,8.08,7.92,7.92,8,7.67,10,10,7.83,8,0,83.58,0.112,0,0,"Yellow-Green",3,"August 26th, 2026","Specialty Coffee Institute of Thailand","cd254f5d02fe4450b36e8a51c2a1060d0d62aeda","a5cfe32cd76b94992ddf70c8ace293bd3d196eb2","m",579,579,579
"48","Vietnam","tamba company","TAMBA 01 HONEY YELLOW","dry mill","","tamba company","700-900","gia lai","Tamba company",166,"60 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","May 22nd, 2025","luu vinh quang","ROBUSTA","Completed","Pulped natural / honey",7.83,7.75,8,7.92,7.92,8.08,10,10,8,8,0,83.5,0.117,0,0,"Green",1,"May 22nd, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",700,900,800
"49","Vietnam","gaia farms","221142","hulling facility","","brew baby coffee company","5400","lam dong province, vietnam","Viet Coffee Company Limited",1,"1 kg","Firedancer Coffee Consultants","2024 / 2025","April 8th, 2025","brew baby coffee company","Catimor","Completed","Natural / Dry",7.92,7.92,7.75,7.75,8.17,8.08,10,10,8,7.92,0,83.5,0.093,0,0,"Yellowish",0,"April 8th, 2026","Firedancer Coffee Consultants","d3e5f5305b7da34046552e7a097867f1e6ea26bb","0f27a1c26c85718684aecef45358ededc6ded029","m",5400,5400,5400
"50","Vietnam","likefarm","R556","likefarm","","hợp tác xã liên kết","950","lâm hà, lâm đồng","Mai Nguyễn Quốc Thắng",10000,"1 kg","HQJ Coffee School","2024 / 2025","August 18th, 2025","mai nguyen quoc thang","TR4","Completed","Pulped natural / honey",7.83,8,7.92,7.92,8,8,10,10,7.92,7.92,0,83.5,0.11,0,0,"Green",0,"August 18th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",950,950,950
"51","Vietnam","nghĩa farm","R763","nghĩa farm","","nghiafarm","880","thôn 5 - xã nghĩa hưng - huyện chư pah - tỉnh gia lai","Nguyễn Thị Thu Thảo",10000,"1 kg","HQJ Coffee School","2024 / 2025","August 18th, 2025","nguyen thi thu thao","TR4","Completed","Washed / Wet",8,7.92,7.75,7.92,8,7.92,10,10,7.92,8,0,83.42,0.11,0,0,"Green",0,"August 18th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",880,880,880
"52","Vietnam","8ro company","R405","8ro company","","8rocompany","800","quảng tín, đăk rlấp, đắk nông","Đinh Tiên Bảo San",25000,"1 kg","HQJ Coffee School","2024 / 2025","August 18th, 2025","đinh tiên bảo san","Mix","Completed","Natural / Dry",8.25,7.92,7.83,7.92,7.92,7.83,10,10,7.83,7.92,0,83.42,0.11,0,0,"Green",0,"August 18th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",800,800,800
"53","Vietnam","tamba coffee farm","R975","tamba coffee farm","","tamba company","880","chư pah, gia lai","Bùi Thanh Thúy Vy",142000,"1 kg","HQJ Coffee School","2024 / 2025","August 18th, 2025","luu vinh quang","TR4","Completed","Pulped natural / honey",8.08,8,7.92,7.92,7.83,7.83,10,10,7.92,7.83,0,83.33,0.11,0,0,"Green",0,"August 18th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",880,880,880
"54","Vietnam","phuoc farm","NA2","dry mill","","stone village lab","820-830","gia lai","PHUOC FARM",2,"2 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","September 29th, 2025","nguyen van hoa","ROBUSTA","Completed","Natural / Dry",8,7.92,7.83,7.92,7.92,7.92,10,10,7.92,7.92,0,83.33,0.121,0,0,"Blue-Green",0,"September 29th, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",820,830,825
"55","Vietnam","x - robusta","1","dry mill","","công ty tnhh đầu tư và phát triển fameka","700","gia lai, viet nam","Công ty TNHH Đầu Tư và Phát Triển FAMEKA",1,"2 kg","Vietnam Commodity Control & Certification Joint Stock Company (VCC&C)","2024 / 2025","May 22nd, 2025","hoang thuy","","Completed","Natural / Dry",8.33,7.92,7.83,7.83,7.83,7.83,10,10,7.83,7.83,0,83.25,0.11,0,0,"Yellow-Green",2,"May 22nd, 2026","Vietnam Commodity Control & Certification Joint Stock Company (VCC&C)","bbb653548f44fc9c11e7f7b25bc15780530e4536","c323572dd400e84d760119d037596e30ba3fabde","m",700,700,700
"56","Vietnam","eatan cooperative","H1","dry","","simexco daklak ltd","850","đắk lắk","Hợp tác xã Ea Tân",28,"60 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","September 29th, 2025","simexco daklak","Tr9","Completed","Pulped natural / honey",8,7.83,7.92,7.75,7.92,8,10,10,7.92,7.92,0,83.25,0.12,0,0,"Blue-Green",0,"September 29th, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",850,850,850
"57","Vietnam","ngon avatar","HN01","dry mill","","stone village lab","800","gia lai","NGON AVATAR",2,"2 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","September 29th, 2025","nguyen van hoa","TR4","Completed","Pulped natural / honey",8,7.83,7.75,7.92,7.92,7.92,10,10,7.92,8,0,83.25,0.12,0,0,"Green",0,"September 29th, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",800,800,800
"58","Indonesia","yogi kurniawan","634","yes","400067","yogi kurniawan","1300","central java","Yogi Kurniawan",1,"50 kg","EKATA COFFEE CENTER","2020 / 2021","October 13th, 2025","shameel","Santos","Completed","Natural / Dry",7.75,7.92,7.67,7.67,8.25,8,10,10,8,7.92,0,83.17,0.123,0,0,"greenish",2,"October 13th, 2026","EKATA COFFEE CENTER","c227a91250e92ec24569c884f348e54ee3234ea0","a253742fefa3c1d78ed7612d125f2d7db98bd8d8","m",1300,1300,1300
"59","Vietnam","tamba company","TAMBA NATURAL FERMENTED","dry mill","","tamba company","700-900","gia lai","Tamba company",16,"60 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","May 22nd, 2025","luu vinh quang","ROBUSTA","Completed","Natural / Dry",7.83,7.83,7.92,8.08,7.92,7.92,10,10,7.83,7.83,0,83.17,0.114,0,0,"Green",0,"May 22nd, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",700,900,800
"60","Thailand","suwan padtaisong","1","prasatyooyen ltd. 14°37'47.5""n 103°24'07.3""e","","prasatyooyen ltd.","200-476","surin","Treerat Trakoonudomporn",1,"2 kg","SOCOF Lab","2025","May 29th, 2025","treerat trakoonnudomporn","","Completed","Natural / Dry",8,8.08,8.08,7.83,7.92,7.58,10,10,7.83,7.75,0,83.08,0.108,0,0,"Brownish",1,"May 29th, 2026","SOCOF Lab","015024b7d7c5a3f2a0791938b235b06f54e8b9fb","0cf2619c0da34c0eef4ccae871f1817ce2f1baf8","m",200,476,338
"61","Vietnam","bình đông farm","R518","bình đông farm","","binh dong","900","bảo lâm, lâm đồng","Doanh nghiệp tư nhân Trà - Cà Phê Bình Đông",500000,"1 kg","HQJ Coffee School","2024 / 2025","August 18th, 2025","binhdongfarm","TR138, xanh lùn, đọt tía","Completed","Washed / Wet",7.92,7.92,7.83,8,7.92,7.83,10,10,7.83,7.83,0,83.08,0.11,0,0,"Green",0,"August 18th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",900,900,900
"62","Vietnam","bình đông farm","R136","bình đông farm","","binh dong","900","bảo lâm, lâm đồng","Doanh nghiệp tư nhân Trà - Cà Phê Bình Đông",500000,"1 kg","HQJ Coffee School","2024 / 2025","August 18th, 2025","binhdongfarm","TR138 - High quality","Completed","Washed / Wet",7.83,7.92,7.83,7.92,8,7.83,10,10,7.83,7.83,0,83,0.11,0,0,"Green",0,"August 18th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",900,900,900
"63","Vietnam","bình đông farm","R531","bình đông farm","","binh dong","900","bảo lâm, lâm đồng","Doanh nghiệp tư nhân Trà - Cà Phê Bình Đông",500000,"1 kg","HQJ Coffee School","2024 / 2025","August 18th, 2025","binhdongfarm","Xanh lùn - Premium","Completed","Washed / Wet",7.83,7.83,7.83,7.92,7.83,7.92,10,10,7.92,7.92,0,83,0.11,0,0,"Green",0,"August 18th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",900,900,900
"64","Vietnam","suối ngang coffee","Thôn Đắk Kim xã Đắk Lao huyện Đắk Mil tỉnh Đắk Nông","suối ngangcoffee","","tai duc service and trading company limited","650","thôn đắk kim xã đắk lao huyện đắk mil tỉnh đắk nông","Suối Ngang Coffee",2,"1 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","May 19th, 2025","suoingangcoffee","Giống hỗn hợp (TR4, sẻ, dây)","Completed","Pulped natural / honey",7.75,7.83,7.75,7.92,7.92,8,10,10,7.83,7.83,0,82.83,0.124,0,0,"Blue-Green",0,"May 19th, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",650,650,650
"65","Vietnam","future farm","Robusta full washed - Future Farm 2025","dry mill","","future coffee farm -việt nam","800 - 900","bảo lộc - lâm đồng","Nguyễn Văn Tới",20,"50 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","August 7th, 2025","nguyen van toi","138","Completed","Washed / Wet",7.75,7.83,7.83,7.83,7.83,7.92,10,10,7.83,7.83,0,82.67,0.116,0,0,"Green",0,"August 7th, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",800,900,850
"66","Thailand","bahoi estate","B","dry mill","","innovative coffee","200","songkhla","Sabayoi Coffee Processing Community Enterprise",1,"2 kg","Specialty Coffee Institute of Thailand","2024 / 2025","June 11th, 2025","innovative coffee","","Completed","Natural / Dry",7.83,7.75,7.83,7.83,7.92,7.83,10,10,7.83,7.83,0,82.67,0.088,0,0,"Yellow-Green",0,"June 11th, 2026","Specialty Coffee Institute of Thailand","cd254f5d02fe4450b36e8a51c2a1060d0d62aeda","a5cfe32cd76b94992ddf70c8ace293bd3d196eb2","m",200,200,200
"67","Vietnam","thanh an coffe fram","1","green bean","","công ty tnhh mtv trà và cà phê thanh an","840","bảo lộc, lâm đồng, việt nam","Vũ Động Lực",5,"60 kg","Vietnam Commodity Control & Certification Joint Stock Company (VCC&C)","2024 / 2025","April 7th, 2025","vũ động lực","TAF038","Completed","Natural / Dry",8.33,8.08,7.75,7.67,7.67,7.67,10,10,7.75,7.75,0,82.67,0.112,0,0,"Brownish",1,"April 7th, 2026","Vietnam Commodity Control & Certification Joint Stock Company (VCC&C)","bbb653548f44fc9c11e7f7b25bc15780530e4536","c323572dd400e84d760119d037596e30ba3fabde","m",840,840,840
"68","Vietnam","nghĩa farm","R897","nghĩa farm","","nghiafarm","880","thôn 5 - xã nghĩa hưng - huyện chư pah - tỉnh gia lai","Nguyễn Thị Thu Thảo",10000,"1 kg","HQJ Coffee School","2024 / 2025","August 18th, 2025","nguyen thi thu thao","TR4","Completed","Washed / Wet",7.83,7.83,7.83,7.83,7.92,7.83,10,10,7.75,7.75,0,82.58,0.11,0,0,"Green",0,"August 18th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",880,880,880
"69","Vietnam","công ty tnhh megarden coffee","R852","công ty tnhh megarden coffee","","megarden coffee","600","thôn 4, xã đắk miu, tp gia nghĩa, đắk nông","Vũ Thành An",20000,"1 kg","HQJ Coffee School","2024 / 2025","August 18th, 2025","megarden coffee","Mix","Completed","Natural / Dry",7.67,7.92,7.83,7.92,7.83,7.83,10,10,7.75,7.75,0,82.5,0.11,0,0,"Green",0,"August 18th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",600,600,600
"70","Cambodia","mallika","MALLIKA Lot #1130","mallika","","paul coffee & roastery lab","500","mondulkiri","Oung Vuch Chhe",10,"60 kg","Taiwan Coffee Laboratory 台灣咖啡研究室","2024 / 2025","September 3rd, 2025","hsu,po-han 許博涵","TR4","Completed","Natural / Dry",7.83,7.83,8,7.75,7.83,7.58,10,10,7.67,7.83,0,82.33,0.111,0,2,"Yellow-Green",5,"September 3rd, 2026","Taiwan Coffee Laboratory 台灣咖啡研究室","f7f30d0bd5e00112b74a6bcabc8386f034a229ea","4dcf80c2d9bdd4317f6ca412153f375d6c72df48","m",500,500,500
"71","Vietnam","8ro company","R801","8ro company","","8rocompany","800","quảng tín, đăk rlấp, đắk nông","Đinh Tiên Bảo San",25000,"1 kg","HQJ Coffee School","2024 / 2025","August 18th, 2025","đinh tiên bảo san","Mix","Completed","Natural / Dry",8.08,7.75,7.67,7.92,7.75,7.67,10,10,7.67,7.67,0,82.17,0.11,0,0,"Green",0,"August 18th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",800,800,800
"72","Vietnam","ara farm vườn hoàng luận","TT01","dry mill","","total feeling coffee","550","huong phung, huong hoa, quang tri","ARA FARM VƯỜN HOÀNG LUẬN",20,"60 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","June 26th, 2025","nguyen van hoa","Robusta Sẻ","Completed","Natural / Dry",7.75,7.67,7.75,7.92,7.75,7.75,10,10,7.75,7.75,0,82.08,0.114,0,0,"Bluish-Green",0,"June 26th, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",550,550,550
"73","Vietnam","blutani farm","2025","14 xóm 1 thôn 7 xã tân châu huyện di linh tỉnh lâm đồng","","blutani farm","1020","vietnam","Nguyen Thanh Tai",1,"2 kg","HQJ Coffee School","2024 / 2025","April 7th, 2025","trung nguyen quoc","","Completed","Natural / Dry",7.75,7.83,7.67,7.92,7.83,7.58,10,10,7.75,7.75,0,82.08,0.104,0,0,"Green",0,"April 7th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",1020,1020,1020
"74","Thailand","grandma was ่s diversified garden","C237","9.8","","grandma was' s diversified garden","12","southern region of thailand","Pavadee Thongbunchoo",1,"10 kg","Specialty Coffee Institute of Thailand","2023 / 2024","November 7th, 2024","pavadee thongbunchoo","","Completed","Natural / Dry",8,7.92,7.67,7.67,7.75,7.58,10,10,7.58,7.58,0,81.75,0.098,0,0,"yellowish",0,"November 7th, 2025","Specialty Coffee Institute of Thailand","cd254f5d02fe4450b36e8a51c2a1060d0d62aeda","a5cfe32cd76b94992ddf70c8ace293bd3d196eb2","m",12,12,12
"75","Vietnam","ngon avatar","NA1","dry mill","","stone village lab","820-830","gia lai","NGON AVATAR",2,"2 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","September 29th, 2025","nguyen van hoa","","Completed","Natural / Dry",7.67,7.58,7.67,7.67,7.75,7.75,10,10,7.75,7.75,0,81.58,0.117,0,0,"Blue-Green",0,"September 29th, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",820,830,825
"76","Vietnam","út cưng farm","69","út cưng","","ba cham ka matcha and coffee","900","di linh, lâm đồng","Lê Văn Duy",10,"50 kg","STONE VILLAGE LAB VIETNAM","2020 / 2021","August 13th, 2025","vu truong giang","","Completed","",7.83,7.75,7.67,7.58,7.67,7.75,10,10,7.58,7.67,0,81.5,0.118,0,0,"Blue-Green",0,"August 13th, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",900,900,900
"77","India","papakuchi coffee","14/1593/2025/001","laxmi coffee curing works","14/1593/2025/001","saka no tochu co., ltd.","1040","western ghāts, karnataka","Pavan",200,"30 kg","SNOW BEANS .LAB","2024 / 2025","May 5th, 2025","saya miyazaki","Perdenia","Completed","Washed / Wet",7.67,7.67,7.67,7.75,7.75,7.58,10,10,7.67,7.67,0,81.42,0.106,0,0,"Greenish",3,"May 5th, 2026","SNOW BEANS .LAB","dd3b6c344c9e9071361d962551fac1001a6968d2","d443350696f31ffa97f0fb444d0f4f7d58fcd55d","m",1040,1040,1040
"78","India","sethuraman estate","14/1148/2024/11 Jenumara (Honey Tree) Block","kaapi royale","14/1148/2024/11","kaapi royale","2870","magundi,badra river belt,chikmagalur","Kaapi Royale",250,"60 kg","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","2024 / 2025","November 7th, 2024","nishant gurjer","SLN 274 Variety","Completed","Washed / Wet",7.75,7.5,7.5,7.83,7.75,7.67,10,10,7.58,7.67,0,81.25,0.142,0,2,"Green",6,"November 7th, 2025","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","af4a68b48050b97dd2c6de644e92cd508d938cbe","0f3d5a58fdfeac6399fd86dea0891a4f8d56f3b3","m",2870,2870,2870
"79","Vietnam","dapan farm","R247","dapan farm","","công ty tnhh cà phê chất lượng cao dapan tây nguyên","870","thôn 14, xã đambri, thành phố bảo lộc, tỉnh lâm đồng","Lâm Văn Phú",20000,"1 kg","HQJ Coffee School","2024 / 2025","August 18th, 2025","công ty tnhh cà phê chất lượng dapan tây nguyên","Robusta Sẻ (30 năm)","Completed","Natural / Dry",7.58,7.67,7.67,7.58,7.67,7.67,10,10,7.67,7.67,0,81.17,0.11,0,0,"Green",0,"August 18th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",870,870,870
"80","India","papakuchi coffee","14/1593/2025/002","laxmi coffee curing works","14/1593/2025/002","saka no tochu co., ltd.","1040","western ghāts, karnataka","Pavan",166,"30 kg","SNOW BEANS .LAB","2024 / 2025","May 5th, 2025","saya miyazaki","Perdenia","Completed","Natural / Dry",7.58,7.58,7.67,7.58,7.67,7.67,10,10,7.67,7.75,0,81.17,0.112,0,0,"Yellow-Green",6,"May 5th, 2026","SNOW BEANS .LAB","dd3b6c344c9e9071361d962551fac1001a6968d2","d443350696f31ffa97f0fb444d0f4f7d58fcd55d","m",1040,1040,1040
"81","Vietnam","haya bean","HAYA H1","dry mill","","haya bean","700-900","gia lai","HAYA BEAN",383,"60 kg","STONE VILLAGE LAB VIETNAM","2024 / 2025","June 11th, 2025","namyangcoopvn","ROBUSTA","Completed","Pulped natural / honey",7.67,7.58,7.67,7.58,7.58,7.58,10,10,7.67,7.67,0,81,0.116,0,1,"Blue-Green",1,"June 11th, 2026","STONE VILLAGE LAB VIETNAM","393fe6ab9d9f38b17708dfd0d34d0a7c7ba0fb43","06ce85988993ce7c3ba37b82efdb15e9e12ab34d","m",700,900,800
"82","India","highrange agricultural society","74","highrange agricultural society","014/1190/2024/74","azul kaffee gmbh & co. kg","800-1000","kerala","Highrange Agricultural Society",100,"60 kg","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","2023 / 2024","May 20th, 2025","yadwinder sangha","Cofea Canephora","Completed","Natural / Dry",7.83,7.75,7.67,7.75,7.75,7.67,9.33,10,7.5,7.67,0,80.92,0.124,0,0,"Brownish",7,"May 20th, 2026","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","af4a68b48050b97dd2c6de644e92cd508d938cbe","0f3d5a58fdfeac6399fd86dea0891a4f8d56f3b3","m",800,1000,900
"83","Thailand","baan khong kua estate","A","dry mill","","innovative coffee","100","songkhla","Baan Khong Kua Rattaphum Community Enterprise",1,"2 kg","Specialty Coffee Institute of Thailand","2020 / 2021","June 11th, 2025","innovative coffee","","Completed","Natural / Dry",7.67,7.58,7.58,7.5,7.5,7.58,10,10,7.67,7.58,0,80.67,0.108,0,0,"Pale Yellow",0,"June 11th, 2026","Specialty Coffee Institute of Thailand","cd254f5d02fe4450b36e8a51c2a1060d0d62aeda","a5cfe32cd76b94992ddf70c8ace293bd3d196eb2","m",100,100,100
"84","India","sethuraman estate","14/1148/2024/02 Boundary Block","kaapi royale","14/1148/2024/02","kaapi royale","2950","magundi,badra river belt,chikmagalur","Kaapi Royale",320,"60 kg","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","2024","November 7th, 2024","nishant gurjer","CXR VARIETY","Completed","Washed / Wet",7.58,7.42,7.5,7.75,7.75,7.42,10,10,7.5,7.5,0,80.42,0.139,0,1,"Green",4,"November 7th, 2025","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","af4a68b48050b97dd2c6de644e92cd508d938cbe","0f3d5a58fdfeac6399fd86dea0891a4f8d56f3b3","m",2950,2950,2950
"85","Brazil","lagoa da mata","RS871/24","dry","002-2020-0022","kimbo s.p.a.","232","matas de rondônia","Ediana Capich",4,"60 kg","IMPERATOR SRL - Green Trading Company","2019 / 2020","November 20th, 2024","alessandro marconicchio","Clonal R15","Completed","FERMENTATION",7.67,7.67,7.42,7.58,7.58,7.42,10,10,7.5,7.5,0,80.33,0.117,2,0,"Brownish",10,"November 20th, 2025","IMPERATOR SRL - Green Trading Company","5df5835c586e3f8ff0c43f7b42683647b05acc78","cc50de2007cf855c5cd4356e11446a7c437925d8","m",232,232,232
"86","India","papakuchi coffee","14/1593/2025/003","laxmi coffee curing works","14/1593/2025/003","saka no tochu co., ltd.","1040","western ghāts, karnataka","Pavan",60,"30 kg","SNOW BEANS .LAB","2024 / 2025","May 5th, 2025","saya miyazaki","Perdenia","Completed","Anaerobic Honey",7.58,7.5,7.42,7.5,7.42,7.33,10,10,7.58,7.5,0,79.83,0.103,0,0,"yellow-green",0,"May 5th, 2026","SNOW BEANS .LAB","dd3b6c344c9e9071361d962551fac1001a6968d2","d443350696f31ffa97f0fb444d0f4f7d58fcd55d","m",1040,1040,1040
"87","Vietnam","buôn's coffee farm","1112","buôn's coffee farm","","buôn's coffee farm","550","buôn ma thuột - đắk lắk","Buôn's Coffee Farm",15,"30 kg","HQJ Coffee School","2024 / 2025","April 7th, 2025","văn hướng","TR4","Completed","Anaerobic Natural",7.42,7.25,7.17,7.5,7.67,7.17,10,10,7.33,7.17,0,78.67,0.123,0,0,"Green",0,"April 7th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",550,550,550
"88","Brazil","fazenda selva café","RS870/24","wet mill","002-2020-0022","kimbo s.p.a.","200","matas de rondônia","Juan Travain",1,"60 kg","IMPERATOR SRL - Green Trading Company","2023 / 2024","November 20th, 2024","alessandro marconicchio","CLONAL R15","Completed","Washed / Wet",7.25,7.25,7.08,7.08,7.08,7.33,10,10,7.17,7.25,0,77.5,0.106,0,0,"Pale-yellow",2,"November 20th, 2025","IMPERATOR SRL - Green Trading Company","5df5835c586e3f8ff0c43f7b42683647b05acc78","cc50de2007cf855c5cd4356e11446a7c437925d8","m",200,200,200
"89","Brazil","chácara paraná","RS869/24","dry","002-2020-0022","kimbo s.p.a.","232","matas de rondonia","Poliana Perrut de lima",1,"60 kg","IMPERATOR SRL - Green Trading Company","2023 / 2024","November 20th, 2024","alessandro marconicchio","Clonal R15","Completed","Natural / Dry",7,7.17,7.17,6.92,7.08,7.25,10,10,7,7.25,0,76.83,0.106,0,0,"Brownish",2,"November 20th, 2025","IMPERATOR SRL - Green Trading Company","5df5835c586e3f8ff0c43f7b42683647b05acc78","cc50de2007cf855c5cd4356e11446a7c437925d8","m",232,232,232
"90","India","harley estate","India Parchment AB harley estate","wet mill","14/2629/2023/03","kimbo s.p.a.","900-1000","manjarabad","Harley Estate",5,"60 kg","IMPERATOR SRL - Green Trading Company","2022 / 2023","November 20th, 2024","alessandro marconicchio","SNL 274","Completed","Washed / Wet",7.25,6.67,6.83,6.67,6.67,7,10,10,6.92,6.83,0,74.83,0.108,0,0,"Pale-yellow",0,"November 20th, 2025","IMPERATOR SRL - Green Trading Company","5df5835c586e3f8ff0c43f7b42683647b05acc78","cc50de2007cf855c5cd4356e11446a7c437925d8","m",900,1000,950
"91","India","kaimbatta estate","India Kaapi Roayale A screen 17 Kodagu","wet mill","014/1616/2023/146","kimbo s.p.a.","900","coorg","Kaimbatta Estate",5,"60 kg","IMPERATOR SRL - Green Trading Company","2022 / 2023","November 20th, 2024","alessandro marconicchio","Paradenya","Completed","Washed / Wet",7.17,6.75,6.67,6.67,6.67,6.58,10,10,6.58,6.83,0,73.92,0.093,0,0,"Green",4,"November 20th, 2025","IMPERATOR SRL - Green Trading Company","5df5835c586e3f8ff0c43f7b42683647b05acc78","cc50de2007cf855c5cd4356e11446a7c437925d8","m",900,900,900
