"","Country.of.Origin","Farm.Name","Lot.Number","Mill","ICO.Number","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner","Variety","Status","Processing.Method","Fragrance...Aroma","Flavor","Aftertaste","Salt...Acid","Bitter...Sweet","Mouthfeel","Uniform.Cup","Clean.Cup","Balance","Overall","Defects","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Expiration","Certification.Body","Certification.Address","Certification.Contact","unit_of_measurement","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"11","Vietnam","an coffee farm","R963","an coffee farm","","ca phe chat luong cao lam ha co.ltd","980-1100","hoài đức, lâm hà, lâm đồng","Nguyễn Thị Phương Anh",105,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","an coffee farm viet nam","Búp tím","Completed","Natural / Dry",8.25,8.42,8.25,8.25,8.25,8.08,10,10,8.17,8.33,0,86,0.11,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",980,1100,1040
"12","Thailand","slkcoffee","N1225","slkcoffee","","slkcoffee","80","chomphon","Thanasit Soonsupha",1,"8 kg","SOCOF Lab","2020 / 2021","October 2nd, 2025","slkcoffee","K7","Completed","Natural / Dry",8.25,8.33,8.08,8.17,8.33,8.17,10,10,8.25,8.33,0,85.92,0.104,0,0,"Brownish",0,"October 2nd, 2026","SOCOF Lab","015024b7d7c5a3f2a0791938b235b06f54e8b9fb","0cf2619c0da34c0eef4ccae871f1817ce2f1baf8","m",80,80,80
"13","Thailand","fine buster","1","dry","","fine buster","1300","นครเทิง","Mujarin Opaso",2,"10 kg","Specialty Coffee Institute of Thailand","2022 / 2023","November 7th, 2024","mujarin opaso","","Completed","Natural / Dry",8.17,8.08,8,8.17,8.25,8.08,10,10,8.17,8.92,0,85.83,0.094,0,0,"yellowish",0,"November 7th, 2025","Specialty Coffee Institute of Thailand","cd254f5d02fe4450b36e8a51c2a1060d0d62aeda","a5cfe32cd76b94992ddf70c8ace293bd3d196eb2","m",1300,1300,1300
"14","Vietnam","công ty tnhh minudo farm - care","R642","công ty tnhh minudo farm - care","","","800","đắk lắk","Lê Đình Tư",3000,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","aeroco coffee","TR9","Completed","Natural / Dry",8.42,8.33,8.17,8.25,8.17,8.08,10,10,8.17,8.25,0,85.83,0.11,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",800,800,800
"15","Vietnam","công ty tnhh carabu coffee","R826","công ty tnhh carabu coffee","","carabu coffee, co, ltd","500","buôn ma thuột","Hoàng Mạnh Tường",18000,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","carabu","Ro Sẻ","Completed","Natural / Dry",8.5,8.33,8.17,8.25,8.17,8,10,10,8.08,8.25,0,85.75,0.11,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",500,500,500
"16","Vietnam","k'ho fine robusta","R775","k'ho fine robusta","","dancafe","1000-1200","ka đơn, đơn dương, lâm đồng","Trần Vũ Mỹ Trinh",30000,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","danh nguyen","Cà dây","Completed","Natural / Dry",8.33,8.25,8.17,8.17,8.33,8.17,10,10,8.17,8.17,0,85.75,0.11,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",1000,1200,1100
"17","Thailand","pumma farm","2567-2568/03","pumma farm","","pumma farm co., ltd.","79","chumphon","Supaporn Pummin",3,"8 kg","SOCOF Lab","2024 / 2025","October 2nd, 2025","supaporn pumnin","","Completed","Natural / Dry",8.33,8.33,8,8.17,8.08,8.17,10,10,8.25,8.33,0,85.67,0.117,0,0,"Brownish",0,"October 2nd, 2026","SOCOF Lab","015024b7d7c5a3f2a0791938b235b06f54e8b9fb","0cf2619c0da34c0eef4ccae871f1817ce2f1baf8","m",79,79,79
"18","Vietnam","soul fine robusta","R914","soul fine robusta","","songlinh co., ltd","600-650","đắk lắk","Hứa Tiểu Linh",10000,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","soul fine robusta vietnam","TR","Completed","Natural / Dry",8.25,8.33,8.17,8.17,8.25,8.17,10,10,8,8.33,0,85.67,0.11,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",600,650,625
"19","Vietnam","bui origin","R998","bui origin","","bui coffee supply","1080","thôn hang hớt, thị trấn mê linh, huyện lâm hà, lâm đồng","Bùi Cảnh",10000,"1 kg","HQJ Coffee School","2024 / 2025","July 9th, 2025","bui canh","TR","Completed","Natural / Dry",8.25,8.33,8.17,8.33,8.17,8.08,10,10,8.08,8.17,0,85.58,0.107,0,0,"Green",0,"July 9th, 2026","HQJ Coffee School","f9df2bb152c5a94320d6a3313866df6cf7c18bc1","e8fda18769e09336ac88fed0f5a5301a6c6057de","m",1080,1080,1080
"20","Thailand","sang tong farm","ICP2025/R003","jangki coffee company","","jangki coffee","500","ตาก","Athit Sangtow",1,"8 kg","Specialty Coffee Institute of Thailand","2024 / 2025","August 26th, 2025","athit sangtow","Robusta","Completed","Natural / Dry",8.25,8.25,7.92,8.42,8.5,8.08,10,10,8.08,8.08,0,85.58,0.122,0,0,"Pale Yellow",2,"August 26th, 2026","Specialty Coffee Institute of Thailand","cd254f5d02fe4450b36e8a51c2a1060d0d62aeda","a5cfe32cd76b94992ddf70c8ace293bd3d196eb2","m",500,500,500
